sep=,
"Time","reducirimagen-74f7996c94-22ll8","reducirimagen-74f7996c94-272s9","reducirimagen-74f7996c94-27lw4","reducirimagen-74f7996c94-28zvk","reducirimagen-74f7996c94-29z2z","reducirimagen-74f7996c94-428kh","reducirimagen-74f7996c94-46xmb","reducirimagen-74f7996c94-486ll","reducirimagen-74f7996c94-48l2j","reducirimagen-74f7996c94-4cz5c","reducirimagen-74f7996c94-4qv8w","reducirimagen-74f7996c94-4snrh","reducirimagen-74f7996c94-54228","reducirimagen-74f7996c94-558vk","reducirimagen-74f7996c94-5bzng","reducirimagen-74f7996c94-5ds9w","reducirimagen-74f7996c94-5hm9v","reducirimagen-74f7996c94-5kkq9","reducirimagen-74f7996c94-5nvq5","reducirimagen-74f7996c94-5p9fq","reducirimagen-74f7996c94-5r9l5","reducirimagen-74f7996c94-5s9c2","reducirimagen-74f7996c94-6df8c","reducirimagen-74f7996c94-6l225","reducirimagen-74f7996c94-6mvqv","reducirimagen-74f7996c94-6pwtk","reducirimagen-74f7996c94-75r9p","reducirimagen-74f7996c94-7hqvm","reducirimagen-74f7996c94-7jlmr","reducirimagen-74f7996c94-7kqlm","reducirimagen-74f7996c94-7l9cn","reducirimagen-74f7996c94-7ltbf","reducirimagen-74f7996c94-7xdzb","reducirimagen-74f7996c94-87d9p","reducirimagen-74f7996c94-87s2c","reducirimagen-74f7996c94-88zt4","reducirimagen-74f7996c94-8fk9t","reducirimagen-74f7996c94-8hgnj","reducirimagen-74f7996c94-8tx27","reducirimagen-74f7996c94-8zvhf","reducirimagen-74f7996c94-94568","reducirimagen-74f7996c94-96pqv","reducirimagen-74f7996c94-96w9n","reducirimagen-74f7996c94-9dbsm","reducirimagen-74f7996c94-9qrqk","reducirimagen-74f7996c94-b9qrg","reducirimagen-74f7996c94-bbdld","reducirimagen-74f7996c94-bbnnk","reducirimagen-74f7996c94-bdwvx","reducirimagen-74f7996c94-c72lw","reducirimagen-74f7996c94-c8ws2","reducirimagen-74f7996c94-cksxf","reducirimagen-74f7996c94-cm8zn","reducirimagen-74f7996c94-cppl6","reducirimagen-74f7996c94-crj2t","reducirimagen-74f7996c94-csbpb","reducirimagen-74f7996c94-d7s5n","reducirimagen-74f7996c94-dffbb","reducirimagen-74f7996c94-dfh79","reducirimagen-74f7996c94-dzpwp","reducirimagen-74f7996c94-f9h54","reducirimagen-74f7996c94-fc6xz","reducirimagen-74f7996c94-fjlmw","reducirimagen-74f7996c94-fl782","reducirimagen-74f7996c94-fncvm","reducirimagen-74f7996c94-fwprt","reducirimagen-74f7996c94-ggvj8","reducirimagen-74f7996c94-gw4n5","reducirimagen-74f7996c94-gwjmr","reducirimagen-74f7996c94-gzrgj","reducirimagen-74f7996c94-h4flp","reducirimagen-74f7996c94-hbw9w","reducirimagen-74f7996c94-hgskq","reducirimagen-74f7996c94-hjsbt","reducirimagen-74f7996c94-hxbkv","reducirimagen-74f7996c94-hz9pb","reducirimagen-74f7996c94-j6slb","reducirimagen-74f7996c94-jfzqr","reducirimagen-74f7996c94-jjkbg","reducirimagen-74f7996c94-jzwjz","reducirimagen-74f7996c94-k7l6c","reducirimagen-74f7996c94-k8v45","reducirimagen-74f7996c94-kg2dz","reducirimagen-74f7996c94-kht4z","reducirimagen-74f7996c94-kmjtv","reducirimagen-74f7996c94-kmr84","reducirimagen-74f7996c94-l2b46","reducirimagen-74f7996c94-l79mt","reducirimagen-74f7996c94-lg8vm","reducirimagen-74f7996c94-lkjmh","reducirimagen-74f7996c94-lkt9z","reducirimagen-74f7996c94-llxw4","reducirimagen-74f7996c94-lz54x","reducirimagen-74f7996c94-m698r","reducirimagen-74f7996c94-mlfxr","reducirimagen-74f7996c94-mq6jv","reducirimagen-74f7996c94-mt8ql","reducirimagen-74f7996c94-nb485","reducirimagen-74f7996c94-nd2c9","reducirimagen-74f7996c94-npt2d","reducirimagen-74f7996c94-pfqgw","reducirimagen-74f7996c94-q4l7j","reducirimagen-74f7996c94-q57lq","reducirimagen-74f7996c94-qgckn","reducirimagen-74f7996c94-ql6g9","reducirimagen-74f7996c94-r8h4w","reducirimagen-74f7996c94-rc668","reducirimagen-74f7996c94-rcn8d","reducirimagen-74f7996c94-rh2hn","reducirimagen-74f7996c94-rkqt2","reducirimagen-74f7996c94-s6hbz","reducirimagen-74f7996c94-sqvtr","reducirimagen-74f7996c94-tb7tc","reducirimagen-74f7996c94-tmdrq","reducirimagen-74f7996c94-twtmx","reducirimagen-74f7996c94-txv4d","reducirimagen-74f7996c94-v28tw","reducirimagen-74f7996c94-v5j4h","reducirimagen-74f7996c94-vh2p5","reducirimagen-74f7996c94-vnflw","reducirimagen-74f7996c94-vnfqz","reducirimagen-74f7996c94-vqtn6","reducirimagen-74f7996c94-vzn65","reducirimagen-74f7996c94-wzgd9","reducirimagen-74f7996c94-xcld4","reducirimagen-74f7996c94-xctl5","reducirimagen-74f7996c94-xfqkb","reducirimagen-74f7996c94-xt5x4","reducirimagen-74f7996c94-xz44z","reducirimagen-74f7996c94-z4k9b","reducirimagen-74f7996c94-z5bsj","reducirimagen-74f7996c94-zbh2v","reducirimagen-74f7996c94-zc69n","reducirimagen-74f7996c94-zcq5c","reducirimagen-74f7996c94-zxfvd","reducirimagen-74f7996c94-zxxdr"
2024-10-16 01:51:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162 MiB,,,,,,,,,
2024-10-16 01:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160 MiB,,,,,,,,,
2024-10-16 01:52:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160 MiB,,,,,,,,,
2024-10-16 01:52:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164 MiB,,,,,,,,,
2024-10-16 01:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162 MiB,,,,,,,,,
2024-10-16 01:53:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163 MiB,,,,,,,,,
2024-10-16 01:53:40,,,,,,,,,,,,,,,,,,,,,,86.5 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164 MiB,,,,,,,,,
2024-10-16 01:54:00,,,,,,,,,,,,,,,,,,,,,,121 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165 MiB,,,,,,,,,
2024-10-16 01:54:20,,,,,,,,,,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159 MiB,,,,,,76.0 MiB,,,
2024-10-16 01:54:40,,,,,,,,,,,,,,,,,,,,,,137 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159 MiB,,,,,,115 MiB,,,
2024-10-16 01:55:00,,,,,,,,,,,,,,,,,,,,,,139 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156 MiB,,,,,,122 MiB,,,
2024-10-16 01:55:20,,,,,,,,,,,,,,,,,,,,,,145 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,112 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157 MiB,,,,,,129 MiB,,,
2024-10-16 01:55:40,,,,,,,,,,,,,,,,,,,,,,147 MiB,,,,,,75.5 MiB,,,,,,,,,,,,,,,,,,,,,119 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157 MiB,,,,,,130 MiB,,,
2024-10-16 01:56:00,,,,,,,,,,,,,,,,,,,,,,151 MiB,,,,,,104 MiB,,,,,,,,,,,,,,,,,,,,,124 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158 MiB,,,,,,135 MiB,,,
2024-10-16 01:56:20,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158 MiB,,,,,,138 MiB,,,
2024-10-16 01:56:40,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159 MiB,,,,,,138 MiB,,,
2024-10-16 01:57:00,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161 MiB,,,,,,138 MiB,,,
2024-10-16 01:57:20,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163 MiB,,,,,,138 MiB,,101 MiB,
2024-10-16 01:57:40,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165 MiB,,,,,,138 MiB,,106 MiB,
2024-10-16 01:58:00,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165 MiB,,,,,,138 MiB,,107 MiB,
2024-10-16 01:58:20,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166 MiB,,,,,,138 MiB,,110 MiB,
2024-10-16 01:58:40,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,79.1 MiB,,,,,,,,,,,,104 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165 MiB,,,,,,138 MiB,,111 MiB,
2024-10-16 01:59:00,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,106 MiB,,,,,,,,,,,,105 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166 MiB,,,,,,138 MiB,,112 MiB,
2024-10-16 01:59:20,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,77.0 MiB,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,107 MiB,,,,,,,,,,,,106 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157 MiB,,,,,,138 MiB,,112 MiB,
2024-10-16 01:59:40,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,107 MiB,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,108 MiB,,,,,,,,,,,,107 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158 MiB,,,,,,138 MiB,,114 MiB,
2024-10-16 02:00:00,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,110 MiB,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,111 MiB,,,,,,,,,,,,107 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158 MiB,,,,,,138 MiB,,114 MiB,
2024-10-16 02:00:20,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,110 MiB,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,111 MiB,,,,,,,,,,,,107 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160 MiB,,,,,,138 MiB,,114 MiB,
2024-10-16 02:00:40,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,110 MiB,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,111 MiB,,,,,,,,,,,,107 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 MiB,,,,,,,,,,,,,,,,162 MiB,,,,,,138 MiB,,114 MiB,
2024-10-16 02:01:00,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,117 MiB,,,,,,,,110 MiB,,,,,,,,,,,,,128 MiB,,,,,,,,,,,,,,,,,111 MiB,,,,,,,,,,,,107 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 MiB,,,,,,,,,,,,,,,,162 MiB,,,,,,138 MiB,,114 MiB,
2024-10-16 02:01:20,,,,,,,,,,,,,,,,,,,,,,151 MiB,,,,,,117 MiB,,,,,,,,110 MiB,,,,,,,,,106 MiB,,,,128 MiB,,,,,,,,,,,,,,,,,111 MiB,,,,,,,,,,,,107 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,,,,,,,,,,,163 MiB,,,,,,138 MiB,,114 MiB,
2024-10-16 02:01:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 MiB,,,,,,,,,123 MiB,,,,,,,,,,,,,,,,,,,,,111 MiB,,,,,,,,,,,,107 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152 MiB,,,,,,,,,,,,,,,,163 MiB,,,,,,,,114 MiB,
2024-10-16 02:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 MiB,,,,,,,,,142 MiB,,,,,,,,,,,,,,,,,,,,,111 MiB,,,,,,109 MiB,,,,,,107 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153 MiB,,,,,,,,,,,,,,,,160 MiB,,,,,,,,114 MiB,
2024-10-16 02:02:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 MiB,,,,,,,,,144 MiB,,,,,,,,,,,,,,,,,,,,,111 MiB,,,,,,124 MiB,,,,,,107 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154 MiB,,,,,,,,,,,,,,,,161 MiB,,,,,,,,114 MiB,
2024-10-16 02:02:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 MiB,,,,,,,,,144 MiB,,,,,,65.4 MiB,,,,,,,,,,,,,,,111 MiB,,,,,,139 MiB,,,,,,107 MiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 MiB,,,,,,,,,,,,,,,,151 MiB,,,,,,,,114 MiB,
