sep=,
2025-04-05 18:43:52,0
2025-04-05 18:43:53,0
2025-04-05 18:43:54,0
2025-04-05 18:43:55,0
2025-04-05 18:43:56,0
2025-04-05 18:43:57,0
2025-04-05 18:43:58,0
2025-04-05 18:43:59,0
2025-04-05 18:44:00,0
2025-04-05 18:44:01,0
2025-04-05 18:44:02,0
2025-04-05 18:44:03,0
2025-04-05 18:44:04,0
2025-04-05 18:44:05,0
2025-04-05 18:44:06,0
2025-04-05 18:44:07,0
2025-04-05 18:44:08,0
2025-04-05 18:44:09,0
2025-04-05 18:44:10,0
2025-04-05 18:44:11,0
2025-04-05 18:44:12,0
2025-04-05 18:44:13,0
2025-04-05 18:44:14,0
2025-04-05 18:44:15,0
2025-04-05 18:44:16,0
2025-04-05 18:44:17,0
2025-04-05 18:44:18,0
2025-04-05 18:44:19,0
2025-04-05 18:44:20,0
2025-04-05 18:44:21,0
2025-04-05 18:44:22,0
2025-04-05 18:44:23,0
2025-04-05 18:44:24,0
2025-04-05 18:44:25,0
2025-04-05 18:44:26,0
2025-04-05 18:44:27,0
2025-04-05 18:44:28,0
2025-04-05 18:44:29,0
2025-04-05 18:44:30,0
2025-04-05 18:44:31,0
2025-04-05 18:44:32,0
2025-04-05 18:44:33,0
2025-04-05 18:44:34,0
2025-04-05 18:44:35,0
2025-04-05 18:44:36,0
2025-04-05 18:44:37,0
2025-04-05 18:44:38,0
2025-04-05 18:44:39,0
2025-04-05 18:44:40,0
2025-04-05 18:44:41,0
2025-04-05 18:44:42,0
2025-04-05 18:44:43,0
2025-04-05 18:44:44,0
2025-04-05 18:44:45,0
2025-04-05 18:44:46,0
2025-04-05 18:44:47,0
2025-04-05 18:44:48,0
2025-04-05 18:44:49,0
2025-04-05 18:44:50,0
2025-04-05 18:44:51,0
2025-04-05 18:44:52,0
2025-04-05 18:44:53,0
2025-04-05 18:44:54,0
2025-04-05 18:44:55,0
2025-04-05 18:44:56,0
2025-04-05 18:44:57,0
2025-04-05 18:44:58,0
2025-04-05 18:44:59,0
2025-04-05 18:45:00,0
2025-04-05 18:45:01,0
2025-04-05 18:45:02,0
2025-04-05 18:45:03,0
2025-04-05 18:45:04,0
2025-04-05 18:45:05,0
2025-04-05 18:45:06,0
2025-04-05 18:45:07,0
2025-04-05 18:45:08,0
2025-04-05 18:45:09,0
2025-04-05 18:45:10,0
2025-04-05 18:45:11,0
2025-04-05 18:45:12,0
2025-04-05 18:45:13,0
2025-04-05 18:45:14,0
2025-04-05 18:45:15,0
2025-04-05 18:45:16,0
2025-04-05 18:45:17,0
2025-04-05 18:45:18,0
2025-04-05 18:45:19,0
2025-04-05 18:45:20,0
2025-04-05 18:45:21,0
2025-04-05 18:45:22,0
2025-04-05 18:45:23,0
2025-04-05 18:45:24,0
2025-04-05 18:45:25,0
2025-04-05 18:45:26,0
2025-04-05 18:45:27,0
2025-04-05 18:45:28,0
2025-04-05 18:45:29,0
2025-04-05 18:45:30,0
2025-04-05 18:45:31,0
2025-04-05 18:45:32,0
2025-04-05 18:45:33,0
2025-04-05 18:45:34,0
2025-04-05 18:45:35,0
2025-04-05 18:45:36,0
2025-04-05 18:45:37,0
2025-04-05 18:45:38,0
2025-04-05 18:45:39,0
2025-04-05 18:45:40,0
2025-04-05 18:45:41,0
2025-04-05 18:45:42,0
2025-04-05 18:45:43,0
2025-04-05 18:45:44,0
2025-04-05 18:45:45,0
2025-04-05 18:45:46,0
2025-04-05 18:45:47,0
2025-04-05 18:45:48,0
2025-04-05 18:45:49,0
2025-04-05 18:45:50,0
2025-04-05 18:45:51,0
2025-04-05 18:45:52,0
2025-04-05 18:45:53,0
2025-04-05 18:45:54,0
2025-04-05 18:45:55,0
2025-04-05 18:45:56,0
2025-04-05 18:45:57,0
2025-04-05 18:45:58,0
2025-04-05 18:45:59,0
2025-04-05 18:46:00,0
