sep=,
2025-04-05 19:54:32,0
2025-04-05 19:54:33,0
2025-04-05 19:54:34,0
2025-04-05 19:54:35,0
2025-04-05 19:54:36,0
2025-04-05 19:54:37,0
2025-04-05 19:54:38,0
2025-04-05 19:54:39,0
2025-04-05 19:54:40,0
2025-04-05 19:54:41,0
2025-04-05 19:54:42,0
2025-04-05 19:54:43,0
2025-04-05 19:54:44,0
2025-04-05 19:54:45,0
2025-04-05 19:54:46,0
2025-04-05 19:54:47,0
2025-04-05 19:54:48,0
2025-04-05 19:54:49,0
2025-04-05 19:54:50,0
2025-04-05 19:54:51,0
2025-04-05 19:54:52,0
2025-04-05 19:54:53,0
2025-04-05 19:54:54,0
2025-04-05 19:54:55,0
2025-04-05 19:54:56,0
2025-04-05 19:54:57,0
2025-04-05 19:54:58,0
2025-04-05 19:54:59,0
2025-04-05 19:55:00,0
2025-04-05 19:55:01,0
2025-04-05 19:55:02,0
2025-04-05 19:55:03,0
2025-04-05 19:55:04,0
2025-04-05 19:55:05,0
2025-04-05 19:55:06,0
2025-04-05 19:55:07,0
2025-04-05 19:55:08,0
2025-04-05 19:55:09,0
2025-04-05 19:55:10,0
2025-04-05 19:55:11,0
2025-04-05 19:55:12,0
2025-04-05 19:55:13,0
2025-04-05 19:55:14,0
2025-04-05 19:55:15,0
2025-04-05 19:55:16,0
2025-04-05 19:55:17,0
2025-04-05 19:55:18,0
2025-04-05 19:55:19,0
2025-04-05 19:55:20,0
2025-04-05 19:55:21,0
2025-04-05 19:55:22,0
2025-04-05 19:55:23,0
2025-04-05 19:55:24,0
2025-04-05 19:55:25,0
2025-04-05 19:55:26,0
2025-04-05 19:55:27,0
2025-04-05 19:55:28,0
2025-04-05 19:55:29,0
2025-04-05 19:55:30,0
2025-04-05 19:55:31,0
2025-04-05 19:55:32,0
2025-04-05 19:55:33,0
2025-04-05 19:55:34,0
2025-04-05 19:55:35,0
2025-04-05 19:55:36,0
2025-04-05 19:55:37,0
2025-04-05 19:55:38,0
2025-04-05 19:55:39,0
2025-04-05 19:55:40,0
2025-04-05 19:55:41,0
2025-04-05 19:55:42,0
2025-04-05 19:55:43,0
2025-04-05 19:55:44,0
2025-04-05 19:55:45,0
2025-04-05 19:55:46,0
2025-04-05 19:55:47,0
2025-04-05 19:55:48,0
2025-04-05 19:55:49,0
2025-04-05 19:55:50,0
2025-04-05 19:55:51,0
2025-04-05 19:55:52,0
2025-04-05 19:55:53,0
2025-04-05 19:55:54,0
2025-04-05 19:55:55,0
2025-04-05 19:55:56,0
2025-04-05 19:55:57,0
2025-04-05 19:55:58,0
2025-04-05 19:55:59,0
2025-04-05 19:56:00,0
2025-04-05 19:56:01,0
2025-04-05 19:56:02,0
2025-04-05 19:56:03,0
2025-04-05 19:56:04,0
2025-04-05 19:56:05,0
2025-04-05 19:56:06,0
2025-04-05 19:56:07,0
2025-04-05 19:56:08,0
2025-04-05 19:56:09,0
2025-04-05 19:56:10,0
2025-04-05 19:56:11,0
2025-04-05 19:56:12,0
2025-04-05 19:56:13,0
2025-04-05 19:56:14,0
2025-04-05 19:56:15,0
2025-04-05 19:56:16,0
2025-04-05 19:56:17,0
2025-04-05 19:56:18,0
2025-04-05 19:56:19,0
2025-04-05 19:56:20,0
2025-04-05 19:56:21,0
2025-04-05 19:56:22,0
2025-04-05 19:56:23,0
2025-04-05 19:56:24,0
2025-04-05 19:56:25,0
2025-04-05 19:56:26,0
2025-04-05 19:56:27,0
2025-04-05 19:56:28,0
2025-04-05 19:56:29,0
2025-04-05 19:56:30,0
2025-04-05 19:56:31,0
2025-04-05 19:56:32,0
2025-04-05 19:56:33,0
2025-04-05 19:56:34,0
2025-04-05 19:56:35,0
2025-04-05 19:56:36,0
2025-04-05 19:56:37,0
2025-04-05 19:56:38,0
2025-04-05 19:56:39,0
2025-04-05 19:56:40,0
2025-04-05 19:56:41,0
2025-04-05 19:56:42,0
2025-04-05 19:56:43,0
2025-04-05 19:56:44,0
2025-04-05 19:56:45,0
2025-04-05 19:56:46,0
2025-04-05 19:56:47,0
2025-04-05 19:56:48,0
2025-04-05 19:56:49,0
2025-04-05 19:56:50,0
2025-04-05 19:56:51,0
2025-04-05 19:56:52,0
2025-04-05 19:56:53,0
2025-04-05 19:56:54,0
2025-04-05 19:56:55,0
2025-04-05 19:56:56,0
2025-04-05 19:56:57,0
2025-04-05 19:56:58,0
2025-04-05 19:56:59,0
2025-04-05 19:57:00,0
2025-04-05 19:57:01,0
2025-04-05 19:57:02,0
2025-04-05 19:57:03,0
2025-04-05 19:57:04,0
2025-04-05 19:57:05,0
2025-04-05 19:57:06,0
2025-04-05 19:57:07,0
2025-04-05 19:57:08,0
2025-04-05 19:57:09,0
2025-04-05 19:57:10,0
2025-04-05 19:57:11,0
2025-04-05 19:57:12,0
2025-04-05 19:57:13,0
2025-04-05 19:57:14,0
2025-04-05 19:57:15,0
2025-04-05 19:57:16,0
2025-04-05 19:57:17,0
2025-04-05 19:57:18,0
2025-04-05 19:57:19,0
2025-04-05 19:57:20,0
2025-04-05 19:57:21,0
2025-04-05 19:57:22,0
2025-04-05 19:57:23,0
2025-04-05 19:57:24,0
2025-04-05 19:57:25,0
2025-04-05 19:57:26,0
2025-04-05 19:57:27,0
2025-04-05 19:57:28,0
2025-04-05 19:57:29,0
2025-04-05 19:57:30,0
2025-04-05 19:57:31,0
2025-04-05 19:57:32,0
2025-04-05 19:57:33,0
2025-04-05 19:57:34,0
2025-04-05 19:57:35,0
2025-04-05 19:57:36,0
2025-04-05 19:57:37,0
2025-04-05 19:57:38,0
2025-04-05 19:57:39,0
2025-04-05 19:57:40,0
2025-04-05 19:57:41,0
2025-04-05 19:57:42,0
2025-04-05 19:57:43,0
2025-04-05 19:57:44,0
2025-04-05 19:57:45,0
2025-04-05 19:57:46,0
2025-04-05 19:57:47,0
2025-04-05 19:57:48,0
2025-04-05 19:57:49,0
2025-04-05 19:57:50,0
2025-04-05 19:57:51,0
2025-04-05 19:57:52,0
2025-04-05 19:57:53,0
2025-04-05 19:57:54,0
2025-04-05 19:57:55,0
2025-04-05 19:57:56,0
2025-04-05 19:57:57,0
2025-04-05 19:57:58,0
2025-04-05 19:57:59,0
2025-04-05 19:58:00,0
